employee,department,valid_from,valid_to
Prescott Bonnell,Services,1986-09-02 17:39:49,2018-08-11 12:02:53
Brett Swafford,Training,1978-03-07 16:38:57,2018-07-23 00:58:55
Esme Duchant,Legal,1997-08-17 22:12:56,2017-11-23 10:08:00
Livia Paxforde,Training,1983-07-17 08:20:32,2018-04-02 16:44:03
Bennett Tagg,Legal,2006-04-16 10:07:54,2017-12-26 04:21:26
Kaylee Gorringe,Services,1974-12-15 23:06:06,2018-07-11 10:39:27
Dodie O'Kerin,Marketing,1971-05-07 09:38:23,2018-03-24 03:06:24
Loretta felip,Training,1981-03-23 11:18:49,2018-05-27 03:19:00
Mareah Marten,Training,1979-12-31 06:16:34,2018-04-05 20:15:05
Jodie Glozman,Product Management,1992-05-13 06:14:12,2018-01-27 23:18:17
Orbadiah O'Shevlin,Research and Development,2006-02-04 10:06:53,2017-11-22 04:33:47
Myranda Geck,Legal,1999-04-09 15:45:37,2018-05-24 14:38:15
Georgine Mion,Support,1991-05-31 20:39:05,2018-04-15 02:17:22
Andreana Cherrie,Research and Development,1975-02-04 16:03:30,2018-07-13 19:36:49
Lauralee Whayman,Research and Development,1989-05-30 08:52:03,2018-03-31 13:28:08
Skyler Swatridge,Product Management,2017-07-23 09:42:35,2018-06-21 20:04:29
Madlen Rioch,Human Resources,1980-01-18 01:01:52,2018-01-25 11:59:04
Ingunna Bromfield,Engineering,2002-10-05 08:02:43,2018-03-25 13:08:27
Darrell Kern,Accounting,1997-12-06 21:11:16,2017-10-04 16:53:37
Terrence Harrild,Sales,1997-02-17 08:54:51,2018-01-03 21:10:25
Saleem Gritsunov,Human Resources,1980-07-20 00:54:34,2018-05-25 09:13:35
Conni Douberday,Accounting,2010-12-07 21:44:32,2018-01-25 12:16:37
Colline Ungerechts,Marketing,1979-11-26 06:58:18,2018-09-10 03:40:46
Ward Lummasana,Sales,1979-06-01 21:00:42,2018-09-07 17:07:33
Randene Le Surf,Training,1972-11-04 21:45:03,2018-08-22 16:23:33
